iter	Passed	Remaining
252	8848	26124
253	8887	26102
254	8919	26060
255	8953	26019
256	8986	25979
257	9018	25938
258	9052	25899
259	9084	25854
260	9119	25820
261	9160	25802
262	9194	25764
263	9227	25724
264	9260	25684
265	9300	25663
266	9332	25619
267	9364	25577
268	9398	25540
269	9435	25510
270	9468	25471
271	9502	25433
272	9536	25396
273	9574	25369
274	9610	25336
275	9642	25295
276	9676	25255
277	9709	25216
278	9743	25180
279	9776	25139
280	9809	25100
281	9843	25062
282	9877	25026
283	9912	24990
284	9945	24951
285	9980	24915
286	10013	24877
287	10049	24844
288	10081	24803
289	10120	24777
290	10152	24735
291	10184	24694
292	10219	24658
293	10258	24635
294	10293	24600
295	10327	24563
296	10360	24523
297	10393	24484
298	10427	24447
299	10463	24414
300	10496	24375
301	10532	24343
302	10566	24307
303	10600	24269
304	10634	24231
305	10666	24190
306	10700	24155
307	10738	24127
308	10771	24087
309	10803	24047
310	10837	24009
311	10873	23976
312	10908	23943
313	10941	23903
314	10973	23864
315	11008	23828
316	11041	23790
317	11074	23751
318	11108	23714
319	11145	23684
320	11179	23648
321	11214	23613
322	11253	23586
323	11290	23555
324	11325	23521
325	11360	23488
326	11394	23452
327	11429	23416
328	11461	23375
329	11493	23334
330	11526	23296
331	11564	23267
332	11597	23230
333	11633	23198
334	11668	23163
335	11701	23124
336	11736	23089
337	11801	23113
338	11834	23075
339	11870	23043
340	11905	23007
341	11938	22969
342	11973	22935
343	12006	22897
344	12042	22863
345	12074	22822
346	12107	22784
347	12144	22754
348	12181	22721
349	12216	22688
350	12250	22651
351	12285	22616
352	12322	22585
353	12360	22555
354	12394	22520
355	12431	22488
356	12465	22451
357	12503	22422
358	12536	22384
359	12570	22346
360	12609	22320
361	12646	22287
362	12681	22252
363	12716	22219
364	12749	22181
365	12783	22143
366	12816	22105
367	12854	22075
368	12890	22042
369	12922	22003
370	12959	21971
371	12997	21941
372	13029	21902
373	13065	21869
374	13099	21832
375	13135	21799
376	13170	21763
377	13202	21724
378	13239	21692
379	13277	21662
380	13312	21628
381	13345	21590
382	13382	21559
383	13416	21522
384	13454	21491
385	13487	21453
386	13523	21421
387	13558	21386
388	13595	21354
389	13629	21318
390	13663	21281
391	13698	21246
392	13734	21213
393	13768	21177
394	13802	21140
395	13838	21106
396	13872	21071
397	13907	21035
398	13942	21000
399	13978	20967
400	14011	20930
401	14044	20891
402	14080	20858
403	14118	20827
404	14151	20790
405	14187	20757
406	14221	20721
407	14258	20689
408	14290	20650
409	14325	20614
410	14362	20582
411	14397	20547
412	14432	20512
413	14466	20476
414	14502	20443
415	14537	20408
416	14572	20373
417	14606	20336
418	14643	20304
419	14681	20275
420	14716	20239
421	14748	20199
422	14784	20167
423	14821	20135
424	14854	20097
425	14889	20063
426	14925	20029
427	14963	19998
428	14998	19963
429	15032	19926
430	15065	19888
431	15100	19853
432	15136	19821
433	15171	19785
434	15206	19750
435	15240	19715
436	15277	19682
437	15315	19651
438	15348	19613
439	15382	19577
440	15418	19544
441	15452	19508
442	15487	19473
443	15521	19437
444	15561	19408
445	15598	19375
446	15633	19340
447	15672	19310
448	15710	19279
449	15748	19248
450	15784	19214
451	15819	19179
452	15854	19144
453	15887	19107
454	15925	19075
455	15959	19039
456	15992	19002
457	16028	18968
458	16062	18932
459	16095	18894
460	16131	18861
461	16166	18825
462	16200	18790
463	16234	18754
464	16271	18721
465	16307	18687
466	16346	18656
467	16380	18620
468	16413	18583
469	16449	18549
470	16482	18512
471	16517	18477
472	16553	18443
473	16589	18409
474	16627	18377
475	16662	18342
476	16697	18307
477	16732	18272
478	16768	18238
479	16802	18203
480	16838	18168
481	16873	18133
482	16907	18098
483	16944	18064
484	16981	18032
485	17017	17997
486	17051	17962
487	17091	17931
488	17126	17896
489	17157	17858
490	17193	17823
491	17231	17791
492	17270	17761
493	17303	17723
494	17336	17686
495	17367	17647
496	17401	17611
497	17438	17578
498	17472	17542
499	17507	17507
500	17542	17472
501	17576	17436
502	17613	17403
503	17646	17366
504	17684	17334
505	17721	17301
506	17757	17267
507	17795	17234
508	17827	17197
509	17888	17186
510	17925	17154
511	17959	17117
512	17992	17080
513	18025	17043
514	18060	17008
515	18096	16974
516	18133	16940
517	18170	16907
518	18207	16874
519	18241	16838
520	18276	16802
521	18309	16766
522	18344	16730
523	18379	16696
524	18415	16661
525	18448	16624
526	18479	16585
527	18512	16549
528	18544	16511
529	18578	16475
530	18614	16441
531	18649	16405
532	18684	16370
533	18717	16334
534	18750	16297
535	18785	16261
536	18821	16228
537	18859	16195
538	18893	16159
539	18929	16124
540	18965	16090
541	19003	16058
542	19041	16026
543	19079	15993
544	19116	15959
545	19148	15922
546	19183	15886
547	19219	15852
548	19275	15834
549	19315	15803
550	19347	15766
551	19383	15731
552	19417	15695
553	19453	15660
554	19490	15627
555	19525	15591
556	19558	15555
557	19591	15518
558	19625	15482
559	19658	15446
560	19692	15410
561	19729	15376
562	19764	15341
563	19800	15306
564	19837	15273
565	19870	15236
566	19906	15202
567	19942	15167
568	19976	15131
569	20009	15095
570	20044	15060
571	20077	15023
572	20112	14987
573	20149	14954
574	20184	14918
575	20221	14885
576	20255	14849
577	20293	14816
578	20328	14781
579	20361	14744
580	20399	14711
581	20438	14679
582	20473	14643
583	20507	14608
584	20540	14571
585	20573	14535
586	20610	14501
587	20645	14465
588	20680	14431
589	20717	14396
590	20752	14361
591	20787	14326
592	20820	14289
593	20856	14255
594	20894	14222
595	20935	14191
596	20968	14154
597	21003	14119
598	21038	14084
599	21074	14049
600	21110	14015
601	21147	13981
602	21183	13946
603	21218	13911
604	21254	13876
605	21288	13841
606	21322	13804
607	21357	13769
608	21391	13734
609	21432	13702
610	21470	13669
611	21507	13635
612	21545	13601
613	21577	13564
614	21610	13528
615	21646	13493
616	21681	13458
617	21715	13423
618	21747	13385
619	21780	13349
620	21814	13313
621	21849	13278
622	21886	13244
623	21920	13208
624	21953	13172
625	21990	13138
626	22023	13101
627	22059	13067
628	22095	13032
629	22130	12997
630	22166	12962
631	22200	12927
632	22234	12891
633	22267	12854
634	22303	12820
635	22339	12785
636	22371	12748
637	22403	12711
638	22437	12675
639	22472	12640
640	22529	12618
641	22565	12583
642	22600	12547
643	22632	12511
644	22668	12476
645	22706	12442
646	22739	12406
647	22771	12369
648	22807	12335
649	22842	12299
650	22876	12264
651	22911	12228
652	22945	12193
653	22979	12157
654	23016	12123
655	23053	12088
656	23086	12053
657	23121	12017
658	23178	11993
659	23269	11987
660	23311	11955
661	23356	11925
662	23406	11897
663	23451	11866
664	23494	11835
665	23536	11803
666	23576	11770
667	23614	11736
668	23651	11701
669	23688	11667
670	23723	11632
671	23759	11597
672	23804	11566
673	23852	11537
674	23898	11506
675	23936	11472
676	23973	11437
677	24008	11402
678	24051	11370
679	24091	11337
680	24128	11302
681	24164	11267
682	24201	11232
683	24239	11198
684	24280	11165
685	24319	11131
686	24358	11097
687	24394	11062
688	24430	11027
689	24466	10992
690	24502	10956
691	24540	10922
692	24574	10886
693	24611	10851
694	24648	10817
695	24684	10781
696	24720	10746
697	24753	10710
698	24786	10673
699	24823	10638
700	24859	10603
701	24893	10567
702	24939	10536
703	24987	10505
704	25022	10470
705	25057	10434
706	25093	10399
707	25134	10366
708	25169	10330
709	25203	10294
710	25240	10259
711	25274	10223
712	25309	10187
713	25344	10151
714	25379	10116
715	25412	10079
716	25447	10044
717	25485	10009
718	25517	9972
719	25556	9938
720	25597	9905
721	25630	9868
722	25665	9833
723	25700	9797
724	25745	9765
725	25782	9730
726	25818	9695
727	25855	9660
728	25888	9623
729	25920	9586
730	25953	9550
731	25988	9515
732	26023	9479
733	26060	9444
734	26096	9408
735	26128	9372
736	26164	9336
737	26200	9301
738	26233	9265
739	26266	9228
740	26299	9192
741	26333	9156
742	26369	9121
743	26401	9084
744	26434	9048
745	26469	9012
746	26501	8975
747	26539	8941
748	26573	8905
749	26606	8868
750	26640	8832
751	26674	8796
752	26710	8761
753	26745	8725
754	26779	8690
755	26814	8654
756	26852	8619
757	26887	8584
758	26930	8551
759	27011	8529
760	27053	8496
761	27096	8463
762	27136	8429
763	27172	8393
764	27211	8359
765	27251	8324
766	27288	8289
767	27326	8254
768	27362	8219
769	27397	8183
770	27436	8149
771	27475	8114
772	27513	8079
773	27549	8044
774	27589	8009
775	27625	7974
776	27662	7939
777	27707	7906
778	27743	7870
779	27778	7834
780	27817	7800
781	27856	7765
782	27894	7730
783	27927	7694
784	27969	7660
785	28013	7627
786	28062	7595
787	28130	7568
788	28183	7537
789	28223	7502
790	28261	7467
791	28301	7432
792	28345	7399
793	28387	7365
794	28428	7330
795	28472	7296
796	28515	7262
797	28561	7229
798	28618	7199
799	28663	7165
800	28698	7129
801	28738	7095
802	28777	7060
803	28816	7025
804	28860	6991
805	28904	6957
806	28947	6923
807	28989	6888
808	29030	6853
809	29071	6819
810	29111	6784
811	29148	6748
812	29187	6713
813	29227	6678
814	29269	6643
815	29308	6608
816	29359	6576
817	29401	6541
818	29443	6507
819	29482	6471
820	29524	6437
821	29560	6401
822	29600	6366
823	29666	6336
824	29706	6301
825	29749	6266
826	29789	6231
827	29832	6197
828	29876	6162
829	29920	6128
830	29958	6092
831	29995	6056
832	30035	6021
833	30073	5985
834	30110	5950
835	30148	5914
836	30185	5878
837	30222	5842
838	30266	5808
839	30303	5772
840	30340	5736
841	30377	5700
842	30414	5664
843	30451	5628
844	30487	5592
845	30523	5556
846	30560	5520
847	30596	5484
848	30636	5448
849	30677	5413
850	30712	5377
851	30752	5341
852	30789	5306
853	30837	5271
854	30874	5236
855	30910	5199
856	30950	5164
857	30985	5128
858	31022	5092
859	31056	5055
860	31094	5019
861	31129	4983
862	31163	4947
863	31200	4911
864	31236	4875
865	31273	4839
866	31312	4803
867	31347	4767
868	31393	4732
869	31441	4698
870	31486	4663
871	31526	4627
872	31566	4592
873	31603	4556
874	31643	4520
875	31678	4484
876	31717	4448
877	31751	4411
878	31788	4375
879	31823	4339
880	31858	4303
881	31897	4267
882	31934	4231
883	31976	4195
884	32014	4160
885	32049	4123
886	32088	4087
887	32127	4052
888	32161	4015
889	32197	3979
890	32240	3944
891	32280	3908
892	32327	3873
893	32421	3844
894	32484	3811
895	32536	3776
896	32589	3742
897	32638	3707
898	32689	3672
899	32733	3637
900	32773	3601
901	32816	3565
902	32861	3529
903	32900	3493
904	32942	3458
905	32986	3422
906	33025	3386
907	33066	3350
908	33107	3314
909	33146	3278
910	33185	3242
911	33224	3205
912	33267	3170
913	33305	3133
914	33349	3098
915	33389	3061
916	33430	3025
917	33494	2991
918	33535	2955
919	33576	2919
920	33615	2883
921	33654	2847
922	33692	2810
923	33732	2774
924	33771	2738
925	33809	2701
926	33847	2665
927	33885	2629
928	33921	2592
929	33959	2556
930	34001	2519
931	34041	2483
932	34081	2447
933	34116	2410
934	34153	2374
935	34190	2337
936	34227	2301
937	34265	2264
938	34303	2228
939	34340	2191
940	34375	2155
941	34411	2118
942	34449	2082
943	34486	2045
944	34521	2009
945	34558	1972
946	34594	1936
947	34630	1899
948	34664	1862
949	34704	1826
950	34736	1789
951	34773	1753
952	34806	1716
953	34842	1680
954	34881	1643
955	34918	1607
956	34953	1570
957	34994	1534
958	35030	1497
959	35069	1461
960	35107	1424
961	35144	1388
962	35179	1351
963	35217	1315
964	35256	1278
965	35298	1242
966	35332	1205
967	35368	1169
968	35410	1132
969	35445	1096
970	35483	1059
971	35524	1023
972	35559	986
973	35602	950
974	35642	913
975	35680	877
976	35718	840
977	35755	804
978	35792	767
979	35830	731
980	35871	694
981	35905	658
982	35942	621
983	35981	585
984	36019	548
985	36054	511
986	36090	475
987	36125	438
988	36161	402
989	36199	365
990	36239	329
991	36278	292
992	36315	256
993	36351	219
994	36390	182
995	36429	146
996	36463	109
997	36500	73
998	36536	36
999	36577	0
